,Medicine Name,Description
151,Human Chorionic Gonadotropin (HCG),"  HCG merupakan salah satu hormon dalam tubuh yang berfungsi mengatur kondisi kesuburan seseorang. Saat hormon HCG dalam tubuh terganggu, dapat digunakan pengganti dari luar untuk memeperbaikinya. Salah satunya Human Chorionic Gonadotropin (HCG). HCG digunakan untuk terapi kesuburan di antaranya untuk memperbaiki kesuburan pada wanita dan meningkatkan jumlah sperma pada pria. Selain itu, HCG juga dapat digunakan pada anak laki-laki untuk membantu testikel turun ke skrotum secara normal.   Baca juga: Kondisi Hormon Bisa Memicu 5 Gangguan Tidur Berikut! (https://www.drugs.com/mtm/human-chorionic-gonadotropin-hcg-injectable.html) "
152,Hydrochlorothiazide (HCTZ),"  HCTZ adalah obat yang digunakan untuk mengatasi retensi (cairan tertahan di jaringan) sehingga bengkak pada pasien yang menderita gagal jantung kongestif, sirosis pada hati, atau gangguan ginjal, atau bengkak yang diakibatkan terlalu banyak meminum obat steroid atau estrogen. HCTZ juga dapat digunakan untuk pasien hipertensi.   Baca juga: Penyakit Ginjal Kronis, Kuras Dana BPJS (https://www.drugs.com/hctz.html) "
153,Hydrocortisone,"  Hydrocortisone adalah obat yang digunakan untuk mengatasi berbagai macam kondisi seperti alergi, gangguan kulit, kolitis ulseratif (peradangan kronis yang terjadi pada usus besar (kolon) dan rektum, artritis (peradangan sendi), lupus, psoriasis (peradangan kronis akibat penyakit autoimun), hingga gangguan pernapasan.   Baca juga: Kenali dan Kendalikan Alergi Susu Sapi pada Anak (https://www.drugs.com/mtm/hydrocortisone.html) "
154,Hydroquinone,"  Geng Sehat tentu ingin dong punya kulit yang terlihat cerah? Nah, jika Kamu ingin memiliki tampilan kulit yang tampak sehat dan juga cerah, hydroquinone asalahsalah stu obat pencerah kulit dan penghilang noda hitam di wajah (melasma). Hydroquinone topikal (untuk kulit) dapat digunakan untuk mencerahkan area kulit yang gelap seperti bintik-bintik pada kulit, age spot (bintik atau bercak yang datar dengan warna keabu-abuan, kecoklatan atau kehitaman pada kulit), melasma (kerusakan pada kulit akibat matahari), atau chloasma (penggelapan kulit akibat perubahan hormon).   Baca juga: Penyebab Melasma, Noda Hitam di Wajah Ibu Hamil (https://www.drugs.com/mtm/hydroquinone-topical.html) "
155,Hyoscine,"  Hyoscine digunakan untuk mengurangi kram pada otot perut, usus, kandung kemih. Obat ini juga dapat digunakan untuk mengurangi gejala Irritable Bowel Syndrome (IBS), yaitu penyakit pencernaan yang umum yang memengaruhi kerja usus besar.   Baca juga: Seperti Apa Kram Perut saat Hamil yang Berbahaya? (https://www.mims.com/indonesia/drug/info/hyoscine/?type=brief&mtype=generic) "
156,Hyoscyamine,"  Meski terkesan sepele, namun masalah pencernaan bisa sangat mengganggu aktivitas, ya. Berbagai masalah pada lambung yang tidak tertahankan dapat dibantu diredakan dengan obat. Salah satunya hyoscyamine. Ini adalah obat untuk mengobati berbagai gangguan pada usus dan lambung seperti tukak atau luka pada lambung dan sindrom iritasi usus besar. Selain itu, obat ini juga dapat digunakan untuk mengontrol kram otot pada kandung kemih, ginjal dan saluran cerna serta untuk mengurangi produksi asam lambung.Dalam beberapa kasus, seperti pada pasien penderita Penyakit Parkinson, hyocyamine juga dapat digunakan untuk mengurangi gemetar dan kaku otot.(https://www.drugs.com/mtm/hyoscyamine.html) "
157,Ibuprofen,"  Geng Sehat, mungkin kalian sudah sering mendengar ya obat ibuprofen? Ya, obat ibuprofen ini memang obat yang sering digunakan untuk mengurangi gejala demam dan mengobati nyeri atau inflamasi yang disebabkan oleh berbagai kondisi seperti sakit kepala, sakit gigi, nyeri punggung, artritis (peradangan pada sendi), kram saat haid, atau luka minor.   Baca juga: Berhubungan Seks Terasa Nyeri Pasca Operasi Cesar? Mungkin Ini Penyebabnya! "
158,Iloprost,"  Iloprost merupakan obat yang digunakan untuk mengobati penyakit pulmonary arterial hypertension atau hipertensi paru, yaitu tekanan darah tinggi pada pembuluh darah arteri dari jantung ke paru-paru. Penyakit ini sering disebut hipertensi paru saja. Hipertensi paru berbeda dengan hipertensi pada umumnya. Jika hipertensi bersifat sistemik, artinya terjadi pada seluruh pembuluh darah di tubuh, maka hipertensi paru ini hanya terjadi pada pembuluh darah yang mengalirkan darah dari jantung ke paru. Meskipun hanya pembuluh darah jantung menuju paru, namun penyakit hipertensi ini dapat berdampak fatal dan sulit disembuhkan.   Baca juga: Pneumonia Bisa Mematikan, Cegah dengan Cara Berikut! "
159,Imipramine,"  Imipramine adalah obat yang digunakan untuk mengatasi gangguan depresi, mencegah anak-anak yang masih mengompol atau gejala lainnya. (https://www.drugs.com/cdi/imipramine-tablets.html) "
160,Indinavir,"  Sejak ditemukan obat-obatan antivirus yang poten, kini infeksi HIV bisa dikendalikan dengan lebih baik. Bahkan beberapa penderita HIV dapat hidup normal dengan virus yang tidak lagi terdeteksi. Ini semua berkat obat yang disebut antiteroviral atau ARV.   Salah satu jenis obat yang dapat digunakan untuk menurunkan jumlah virus HIV pada penderita adalah indinavir. Indinavir dapat mengurangi penyebaran infeksi virus HIV di dalam sel-sel dalam tubuh, sehingga kekebalan atau imunitas tubuh yang menjadi sasaran virus ini dapat dipertahankan fungsinya.   Baca juga: Stigma Negatif Sebabkan Orang Enggan Lakukan Tes HIV/AIDS "
161,Indomethacin,"  Indomethacin adalah obat yang digunakan untuk mengobati nyeri untuk penyakit-penyakit peradangan pada sendi. Misalnya osteoartritis atau radang pada sendi yang biasa terjadi di sendi lutut, dengan skala sedang sampai parah. Selain itu untuk meredakan nyeri pada reumatoid artritis. Reumatoid artritis adalah penyakit autoimun yang mengakibatkan peradangan di persendian. Penyakit lain yang bisa diobati dengan inomethacin adalah gout atau asam urat. Penyakit ini ditandai dengan pembengkakan pada sendi akibat kadar asam urat berlebih dalam tubuh. Selain itu ada ankylosing spondylitis yang merupakan radang sendi pada tulang punggung sehingga punggung belakang terasa nyeri dan kaku. Selain itu, indometachin juga dapat digunakan untuk mengobati nyeri bahu yang disebabkan oleh bursitis atau peradangan pada bagian bursa (kantong berisi cairan pelumas yang terletak pada sendi) atau tendonitis (peradangan yang terjadi pada tendon).   Baca juga: Nyeri Sendi Berlanjut Pasca Chikungunya, Apa Penyebabnya? "
162,Insulin,"  Insulin merupakan salah satu jenis hormon alami dalam tubuh yang diproduksi oleh kelenjar pankreas. Hormon insulin ini bertugas untuk memasukkan glukosa ke dalam sel untuk diubah menjadi energi dan disebarkan ke seluruh tubuh. Nah, pada penderita diabetes, baik diabetes tipe 1 ataupun tipe 2, fungsi dan kerja hormon insulin ini terganggu, di mana gula tidak dapat masuk ke dalam sel karena insulin tidak cukup atau sel tidak peka lagi dengan insulin sehingga kadar gula dalam darah pun menjadi tinggi. Ini adalah awal mula terjadinya diabetes. Kadar gula dalam darah yang tinggi tentu sangat berbahaya bagi tubuh, sehingga dibutuhkan obat-obatan untuk membantu menurunkan kadar gula darah dan menjaga agar kadar gula ini tetap normal. Insulin adalah salah satunya. Insulin adalah pengobatan satu-satunya untuk diabetes tipe 1, karena pankreas tidak mampu meproduksi insulin sehingga dibutuhkan insulin pengganti dari luar. Pada penderita diabetes tipe 2, insulin diberikan jika kadar insulin tetap rendah meski sudah mendapatkan obat antidiabetes lain yang biasanya bekerja dengan merangsang pankreas memproduksi insulin. Insulin juga dapat digunakan oleh wanita hamil yang menderita diabetes (diabetes gestasional).   Baca juga: Resistensi Insulin, Awal Mula Diabetes Melitus Tipe 2 "
163,Ipratropium bromide,"  Ipratropium bromide adalah obat yang digunakan untuk mengatasi PPOK (penyakit paru obstruktif kronis atau sering disebut COPD), asma, dan rhinorhoea yang disertai rhinitis. (https://www.mims.com/indonesia/drug/info/ipratropium%20bromide/?mtype=generic) "
164,Irbesartan,"  Irbesartan digunakan untuk mengobati hipertensi atau tekanan darah yang tinggi. Selain itu, irbesartan juga dapat digunakan untuk mengatasi gangguan ginjal yang disebabkan oleh diabetes tipe 2.   Baca juga: Manfaat Puasa untuk Penderita Hipertensi "
165,Isoniazid,  Isoniazid digunakan untuk mengobati dan mencegah penyakit tuberkulosis (TB).  isoniazid biasanya akan dikombinasikan dengan obat TB lain untuk mengobati TB aktif. Tuberkulosis dapat menjadi kebal jika obat ini digunakan sebagai pengobatan tunggal TB.   Baca juga: Lakukan Ini Supaya Kuman Penyebab TBC Pergi! 
166,Isosorbide Dinitrate,"  Isosorbid dinitrate digunakan untuk mengobati dan mencegah nyeri dada (angina) sebagai gejala serangan jantung. Tablet isosorbide dinitrate sublingual sebaiknya digunakan untuk mengobati seragan angina yang sudah terjadi. Sedangkan iIsosorbide dinitrate tablet biasa atau tablet lepas lambat digunakan untuk mencegah serangan angina tapi tidak dapat digunakan untuk mengobati serangan angina.   Baca juga: Serangan Jantung dan Henti Jantung, Sama atau Beda?   "
167,Isotretinoin,"  Ayo ngaku, siapa yang suka sebel kalau ada jerawat yang tiba-tiba bermunculan? Wah, pasti banyak nih! Ya, keberadaan jerawat memang sering membuat beberapa orang merasa kesal. Bagaimana tidak, sudah munculnya tiba-tiba, jerawat juga membuat penampilan menjadi tidak maksimal.Nah, kalau Kamu punya masalah serupa dengan yang namanya jerawat, jangan khawatir, Gengs. Coba gunakan obat isotretinoin untuk mengatasinya. Isotretinoin ini memang digunakan untuk mengatasi jerawat parah yang sudah tidak mempan lagi dengan pengobatan jerawat lainnya termasuk antibiotik.   Baca juga: Ikuti 5 Cara Menghilangkan Jerawat di Punggung Ini, Yuk! "
168,Isoxsuorine HCI,"  Isoxsuorine HCl adalah obat yang digunakan untuk mengatasi gejala gangguan pembuluh darah di daerah kepala (aliran darah ke otak tidak lancar), arteriosclerosis (penebalan pembuluh darah arteri), dan kondisi lain yang menyebabkan aliran darah ke pembuluh vena dan arteri menjadi kurang baik. "
169,Isradipine,"  Tekanan darah tinggi atau hipertensi adalah kondisi di mana tekanan darah seseorang berada di atas batas normal sekitar 140/90 mmHG. Kondisi ini umumnya disebabkan oleh gaya hidup yang buruk seperti sering merokok dan pola makan yang buruk. Hipertensi yang tidak ditangani dapat menimbulkan komplikasi kesehatan lain yang lebih serius seperti penyakit jantung koroner, stroke, hingga gagal ginjal.   Sama seperti penyakit diabetes, hipertensi juga bukanlah kondisi yang dapat disembuhkan. Namun, dengan perbaikan pola hidup dan pengobatan yang tepat, tekanan darah dapat lebih terkontrol sehingga risiko komplikasi bisa lebih dikurangi. Salah satu jenis obat yang umum digunakan dalam pengobatan pasien hipertensi atau darah tinggi adalah isradipine.   Baca juga: Kebiasaan Pencetus Darah Tinggi yang Kerap Diabaikan  "
170,Itraconazole,"  Itraconazole digunakan untuk mengobati infeksi jamur yang menyerang berbagai bagian tubuh seperti paru-paru, mulut atau tenggorokan, kuku jari kaki atau kuku jari tangan.   Baca juga: Makan Jamur, Baik untuk Penderita Diabetes "
171,Ivermectin,"  Ivermectin digunakan untuk mengobati infeksi dalam tubuh yang disebabkan oleh parasit tertentu.   Baca juga: Kenali Neonatorum Sepsis, Infeksi pada Bayi Baru Lahir "
172,Kanamycin,"  Kanamycin adalah jenis obat yang digunakan untuk mengobati infeksi bakteri.   Baca juga: Hati-hati, Bakteri di Gusi Bisa Merembet ke Jantung! "
173,Kaolin,"  Diare merupakan kondisi yang menyebabkan seseorang ingin buang air besar secara terus-menerus. Diare bisa dialami oleh orang dewasa maupun anak-anak. Diare yang berlangsung dalam waktu lama tanpa ditangani dapat menjadi pertanda gangguan serius, seperti Inflammatory Bowel Disease (penyakit radang usus) atau Irritable Bowel Syndrome (IBS), atau sindrom iritasi usus. Maka dari itu, dibutuhkan jenis obat seperti kaolin yang dapat digunakan untuk mengatasi diare.   Baca juga: Jangan Anggap Enteng Diare! "
174,Ketamine,"  Ketamine adalah obat yang digunakan untuk membuat pasien tidak sadar saat operasi, sehingga dapat mencegah timbulnya rasa sakit dan tidak nyaman saat dilakukan prosedur medis.   Baca juga: Waspada Rasa Sakit pada Hati: Gejala, Jenis, dan Diagnosisnya "
175,Ketoconazole,"  Ketoconazole merupakan obat antijamur. Namun dalam penggunaannya, ketoconazole tidak dapat mengobati infeksi jamur pada jari kuku tangan dan kaki. Obat ini juga sebaiknya hanya digunakan ketika obat antijamur lain sudah tidak dapat digunakan.   Baca juga: Makan Jamur, Baik untuk Penderita Diabetes "
176,Ketoprofen,"  Rasa nyeri yang timbul akibat radang sendi ataupun saat menstruasi tentu sangat mengganggu aktivitas, ya. Nah, untuk mengatasi kondisi ini, Kamu bisa mengonsumsi obat ketoprofen. Ketoprofen dapat digunakan untuk mengobati nyeri dan peradangan yang disebabkan oleh arthritis (peradangan sendi). Selain itu, ketoprofen juga dapat digunakan untuk mengobati nyeri ringan sampai sedang atau nyeri saat menstruasi.   Baca juga: Nyeri Sendi Berlanjut Pasca Chikungunya, Apa Penyebabnya? (https://www.drugs.com/mtm/ketoprofen.html) "
177,Ketorolac,"  Nyeri yang timbul setelah operasi tentu menimbulkan rasa yang tidak nyaman. Untuk itu, dibutuhkan obat seperti ketrolac untuk mengurangi rasa nyeri yang timbul tersebut. Obat ketorolac dapat digunakan untuk meredakan rasa nyeri yang sedang sampai berat.   Baca juga: Berhubungan Seks Terasa Nyeri Pasca Operasi Cesar? Mungkin Ini Penyebabnya! "
178,Ketotifen,"  Beberapa orang ada yang mengalami alergi saat terjadi pergantian musim. Kondisi ini sering disebut dengan istilah alergi musiman. Alergi musiman dapat membuat seseorang bersin-bersin, kulit gatal, hingga mata yang bengkak. Salah satu jenis obat yang dapat mengatasi kondisi alergi musiman ini adalah ketotifen. Selain itu, ketotifen juga dapat digunakan untuk mengobati alergi pada bagian selaput mata.   Baca juga: Kenali dan Kendalikan Alergi Susu Sapi pada Anak "
179,Kloramfenikol,  Kloramfenikol adalah obat yang digunakan untuk mengobati infeksi yang disebabkan oleh bakteri.(https://www.drugs.com/cdi/chloramphenicol.html) 
180,L-Glutamine (Glutamine),"  Glutamine digunakan untuk mengobati kekurangan glutamine. Glutamine adalah suplemen gizi yang mengandung asam amino l-alanyl dan l-glutamine yang digunakan sebagai nutrisi tambahan saat seseorang membutuhkan tambahan glutamine, misalnya akibat kecelakaan atau penyakit.Glutamine dapat juga dikombinasikan dengan human growth hormone untuk mengobati short bowel syndrome, yaitu suatu kondisi di mana nutrisi tidak secara sempurna diserap tubuh (malabsorpsi) akibat penyakit usus yang parah atau operasi pengangkatan sebagian besar usus kecil.   Baca juga: Ini Dia 3 Jenis Suplemen yang Sebaiknya Dikonsumsi saat Hamil "
181,Lactic Acid,"  Kondisi kulit yang halus dan terawat tentu menjadi idaman setiap orang. Namun, bagaimana jika karena faktor tertentu, kulit justru menjadi kering dan terasa gatal? Nah, jika Kamu mengalaminya, cobalah gunakan lactic acid atau asam laktat untuk mengobatinya, Gengs!   Baca juga: Jangan Asal menyentuh Kulit Bayi dan Anak-anak "
182,Lactobacillus Acidophilus,"  Lactobacillus acidophilus adalah obat yang digunakan untuk mencegah infeksi ragi pada vagina dan mulut, diare yang disebabkan oleh penggunaan antibiotik, serta infeksi pada saluran kemih. "
183,Lactobacillus acidophilus,"  Lactobacillus acidophilus adalah produk yang digunakan untuk mencegah infeksi jamur ragi pada vagina, infeksi ragi pada mulut, diare yang disebabkan oleh penggunaan antibiotik, dan infeksi pada saluran kencing. "
184,Lactulose,"  Lactulose digunakan untuk mengobati konstipasi kronis. Lactulose terkadang juga digunakan untuk mengobati atau mencegah kondisi gangguan otak akibat gagal hati yang dapat memicu timbulnya rasa kebingungan, gangguan mengingat atau berpikir, perubahan perilaku, gemetar, merasa terganggu, gangguan tidur, kehilangan koordinasi, dan kehilangan kesadaran.   Baca juga: Hindari 7 Makanan Ini Jika Kamu Mengalami Sembelit "
185,Lanolin,"  Kulit yang kering dan terasa gatal tidak hanya menimbulkan rasa yang tidak nyaman, namun juga merusak penampilan ya, Gengs. Nah, jika kondisi ini Kamu alami, cobalah gunakan lanolin untuk mengobatinya. Lanolin adalah obat yang digunakan untuk mengatasi atau mencegah kulit kering, gatal, atau iritasi kulit lainnya yang disebabkan oleh berbagai kondisi seperti ruam popok, kulit terbakar setelah terapi radiasi, dan lainnya. Lanolin dapat juga digunakan untuk mengobati puting lecet dan terkelupas akibat menyusui. Baca juga: Kulit Gatal Bisa Jadi Tanda Komplikasi Diabetes   "
186,Lansoprazole,"  Lansoprazole digunakan untuk mengobati dan mencegah terjadinya ulkus atau luka lambung dan usus, erosif esofagitis (kerusakan pada kerongkongan akibat asam lambung), dan kondisi lain yang melibatkan asam lambung yang berlebihan.   Baca juga: Hati-hati, Keluhan di Lambung Tidak Selalu Sakit Maag   Sumber: (https://www.drugs.com/mtm/lansoprazole.html) "
187,Levodopa,"  Levodopa digunakan untuk mengobati penyakit parkinson, yakni penyakit saraf yang memengaruhi gerakan otot akibat kurangnya kadar dopamin dalam tubuh. Gejala penyakit parkinson adalah tubuh gemetar dan gerakan tubuh menjadi kaku.   Baca juga: Kenali Gejala Awal Penyakit Parkinson   Sumber: (https://www.drugs.com/mtm/levodopa.html) "
188,Levofloxacin,"  Levofloxacin digunakan untuk mengobati infeksi bakteri pada kulit, sinus, ginjal, kandung kemih, atau prostat. Levofloxacin juga digunakan untuk mengobati infeksi bakteri yang menyebabkan bronkitis atau radang paru-paru, serta mengobati orang-orang yang terkena anthrax (penyakit kulit akibat bakteri Bacillus anthracis).   Baca juga: Hati-hati, Bakteri di Gusi Bisa Merembet ke Jantung!   Sumber: (https://www.drugs.com/mtm/levofloxacin.html) "
189,Levonorgestrel,"  Kehamilan adalah momen yang ditunggu oleh setiap pasangan. Namun karena faktor tertentu, beberapa orang ada yang menggunakan obat levonorgestrel untuk mencegah terjadinya kehamilan. Levonorgestrel sendiri adalah obat yang memang digunakan untuk mencegah kehamilan setelah berhubungan seks tanpa kondom atau untuk kegagalan usaha pencegahan lainnya, seperti kondom pecah atau melewatkan 2 atau lebih pengonsumsian pil KB.   Baca juga: 5 Fakta Anemia pada Kehamilan   Sumber: (https://www.drugs.com/mtm/levonorgestrel-emergency-contraceptive.html) "
190,Lidocaine,"  Lidocaine merupakan obat anestesi lokal yang dapat mengurangi rasa sakit atau ketidaknyamanan akibat prosedur medis yang melukai jaringan, seperti operasi, tusukan jarum, maupun penyisipan kateter atau tabung pernapasan. Lidocaine juga dapat digunakan untuk mengobati kelainan irama jantung. Selain itu, lidocaine sering digunakan untuk mengurangi rasa sakit saat persalinan.   Baca juga: Benjolan di Tubuh Tapi Tidak Sakit, Harus Tetap Waspada!   Sumber: (https://www.drugs.com/mtm/lidocaine-injection.html) "
191,Lincomycin,"  Lincomycin digunakan untuk mengobati penyakit yang disebabkan oleh infeksi bakteri. Lincomycin biasanya digunakan pada pasien yang tidak dapat menggunakan atau memiliki alergi terhadap penisilin.   Baca juga: Virus, Senjata Baru Lawan Bakteri Kebal Antibiotik   Sumber: (https://www.drugs.com/mtm/lincomycin.html) "
192,Lisinopril,"  Hipertensi atau tekanan darah tinggi merupakan kondisi ketika tekanan darah berada di atas batas normal, yang seharusnya hanya sekitar 10/90 mmHG. Kondisi tekanan darah tinggi tak hanya dialami oleh orang dewasa saja, melainkan juga remaja dan anak-anak. Salah satu pemicu timbulnya kondisi ini adalah gaya hidup yang tidak sehat, seperti kebiasaan merokok dan pola makan yang buruk. Meski hipertensi bukan kondisi yang dapat disembuhkan, dengan perbaikan gaya hidup dan perawatan yang tepat, tekanan darah bisa lebih dikontrol sehingga risiko komplikasi pun dapat dikurangi. Salah satu obat yang umum digunakan dalam perawatan pasien hipertensi adalah lisinopril. Lisinopril tak hanya bisa digunakan untuk mengobati tekanan darah tinggi (hipertensi) pada orang dewasa, tetapi juga anak-anak yang berusia minimal 6 tahun. Selain itu, lisinopril juga digunakan untuk mengobati gagal jantung pada orang dewasa atau untuk pengobatan setelah mengalami serangan jantung.   Baca juga: Cegah Stroke dengan Cek Tekanan Darah Rutin di Rumah   Sumber: (https://www.drugs.com/lisinopril.html) "
193,Lithium,"  Lithium digunakan untuk mengobati penyakit bipolar (perubahan suasana hati secara drastis), mania, dan depresi. Gejala yang timbul seperti hiperaktif, bicara terburu-buru, gangguan tidur, agresif, dan emosi tidak stabil.   Baca juga: Deretan Selebriti Hollywood Ini Mengalami Bipolar Disorder!   Sumber: (https://www.drugs.com/lithium.html) "
194,Loperamide,"  Diare bukan masalah kesehatan yang bisa disepelakan. Kondisi diare yang tidak ditangani dapat membuat seseorang mengalami dehidrasi bahkan kematian. Maka dari itu, diperlukan obat seperti loperamide untuk mengobati diare. Selain dapat mengobati diare, loperamide juga dapat digunakan untuk mengurangi jumlah feses selama ilestomy (lubang yang dibuat di perut selama operasi).   Baca juga: Manfaat Zinc untuk Mengatasi Diare Anak   Sumber: (https://www.drugs.com/mtm/loperamide.html) "
195,Loratadine,"  Loratadine adalah obat yang digunakan untuk mengurangi gejala bersin-bersin, hidung berair, mata berair, gatal-gatal, ruam kulit, gatal, dan gejala pilek atau alergi lainnya. Loratadine juga dapat digunakan untuk mengobati gatal-gatal kulit dan gatal pada orang dengan reaksi kulit kronis.   Baca juga: Anak Kembar Identik Punya Alergi yang Sama?   Sumber: (https://www.drugs.com/loratadine.html)   "
196,Lorazepam,"  Mengalami gangguan kecemasan tentu bisa sangat mengganggu. Pasalnya, orang-orang yang mengalami kondisi ini bisa merasakan kecemasan dengan sangat intens dan berlebihan. Parahnya lagi, kecemasan berlebihan ini bisa tejadi dengan frekuensi yang cukup sering, sehingga tak heran kalau kondisi ini bisa sangat mengganggu aktivitas. Untuk mengatasi kondisi ini, biasanya pengidap gangguan kecemasan akan disarankan untuk mengonsumsi obat lorazepam yang memang dapat mengobati gangguan kecemasan.   Baca juga: Merasa Khawatir atau Cemas, Ya? Ini Cara Membedakannya!   Sumber: (https://www.drugs.com/lorazepam.html) "
197,Losartan,"  Hipertensi atau tekanan darah tinggi masih menjadi masalah kesehatan yang umum terjadi. Hipertensi sering mendapat julukan sebagai 'silent killer' karena penyakit ini tidak menyebabkan gejala jangka panjang. Meski begitu, penyakit ini mungkin mengakibatkan komplikasi yang dapat mengancam nyawa layaknya penyakit jantung. Maka dari itu, diperlukan obat seperti losartan yang dapat mengobati kondisi tekanan darah tinggi atau hipertensi.Selain itu, losartan juga dapat digunakan untuk melindungi kondisi ginjal pada penderita diabetes tipe 2.   Baca juga: Kebiasaan Pencetus Darah Tinggi yang Kerap Diabaikan   Sumber: (https://www.drugs.com/losartan.html) "
198,Lovastatin,"  Lovastatin adalah obat penurun kolesterol. Kadar kolesterol yang tinggi, terutama kolesterol jahat LDL akan meningkatkan risiko stroke, serangan jantung, dan komplikasi jantung lainnya. Orang yang memiliki risiko hiperkolesterolemia adalah pasien diabetes atau pasien dengan penyakit jantung koroner, kegemukan, atau memiliki riwayat hiperkolesterolemia di keluarga.   Baca juga: Inilah 5 Jenis Obat Penurun Kolesterol, Mana yang Terbaik? "
199,Lutein,"  Lutein digunakan sebagai vitamin mata untuk mencegah penyakit mata termasuk degenerasi makula (penyakit mata yang menyebabkan kehilangan penglihatan), katarak, dan retinitis pigmentosa (penurunan fungsi retina yang mempengaruhi penglihatan pada malam hari dan penglihatan tepi dan pada akhirnya bisa menyebabkan kebutaan).   Baca juga: Sempat Buta Sementara, Mel B 'Spice Girl' Akui Alami Iritis Parah   Sumber: (https://www.webmd.com/vitamins/ai/ingredientmono-754/lutein) "
200,Lysine,  Lysine digunakan untuk pengobatan alternatif pada kulit melepuh yang terjadi di mulut ataupun daerah sekitar mulut akibat penyakit herpes simpleks.   Baca juga: Ada Berapa Jenis Herpes yang Kamu Tahu?   Sumber: (https://www.drugs.com/mtm/lysine.html) 
201,Magnesium Hidroksida,"  Magnesium hidroksida digunakan sebagai obat pencahar (laksatif) untuk mengobati konstipasi (sulit buang air besar) dan sebagai antasida untuk menghilangkan gangguan pencernaan, asam lambung, dan mulas.   Baca juga: Manfaat Zinc untuk Mengatasi Diare Anak   Sumber: (https://www.drugs.com/mtm/magnesium-hydroxide.html) "
202,Manitol,"  Manitol digunakan untuk meningkatkan produksi urine bagi penderita gagal ginjal. Peningkatan produksi urine akan membantu ginjal dari keadaan istirahat dan meningkatkan kecepatan pembuangan racun dari dalam tubuh.   Baca juga: Mengenal Radang Ginjal, Gejala dan Penyebabnya   Sumber: (https://www.drugs.com/mtm/mannitol.html) "
203,Mebhydrolin,"  Mebhydrolin digunakan untuk meredakan gejala alergi seperti gatal, ruam pada kulit, bersin-bersin, bintik-bintik merah pada kulit, dan hidung berair.   Baca juga: Kenali dan Kendalikan Alergi Susu Sapi pada Anak   Sumber: (http://mims.com/indonesia/drug/info/mebhydrolin/?type=brief&mtype=generic) "
204,Meloxicam,"  Meloxicam digunakan untuk mengobati rasa sakit atau peradangan yang disebabkan oleh rheumatoid arthritis (peradangan sendi) dan osteoarthritis (pengapuran sendi) pada orang dewasa. Meloxicam juga dapat digunakan untuk mengobati juvenile rheumatoid arthritis pada anak-anak yang berusia minimal 2 tahun.   Baca juga: Nyeri Sendi Berlanjut Pasca Chikungunya, Apa Penyebabnya?   Sumber: (https://www.drugs.com/meloxicam.html) "
205,Memantine,"  Salah satu permasalahan yang sering terjadi pada usia lanjut adalah demensia. Demensia adalah kondisi di mana seseorang mengalami penurunan kemampuan mengingat dan memahami atau memcahkan masalah. Beberapa gejala yang timbul saat seseorang mengalami demensia antara lain sulit mengingat, menurunnya kemampuan untuk berpikir, hingga sulit untuk memahami bahasa Meski tidak semua kasus demensia dapat dipulihkan, namun pengobatan yang tepat dapat mengurangi gejala yang timbul dari demensia. Salah satu jenis obat yang sering digunakan untuk mengatasi kondisi demensia akibat penyakit alzheimer ini adalah memantine.   Baca juga: Demensia Alzheimer Kerap Disebut Diabetes Tipe 3   Sumber: (https://www.drugs.com/mtm/memantine.html) "
206,Meropenem,"  Meropenem digunakan untuk mengobati infeksi berat pada kulit maupun perut. Meropenem juga digunakan untuk mengobati meningitis akibat bakteri (infeksi pada otak atau saraf tulang belakang).   Baca juga: Kenali Neonatorum Sepsis, Infeksi pada Bayi Baru Lahir   Sumber: (https://www.drugs.com/mtm/meropenem.html) "
207,Metamfetamin,"  Metamfetamin digunakan untuk mengobati gangguan hiperaktif (ADHD), mengobati obesitas (antiobesitas), dan mampu meningkatkan tekanan darah (antihipotensi).   Baca juga: ADHD Bisa Juga Dialami Orang Dewasa   Sumber: (https://www.webmd.com/drugs/2/drug-8676/methamphetamine-oral/details) "
208,Metampicillin,"  Metampicillin digunakan untuk mengobati infeksi bakteri yang rentan dialami oleh manusia.   Baca juga: Hati-hati, Bakteri di Gusi Bisa Merembet ke Jantung!   Sumber: (http://mims.com/indonesia/drug/info/metampicillin/?type=brief&mtype=generic) "
209,Metformin,"  Diabetes tipe 2 merupakan jenis diabetes yang paling umum terjadi. Kondisi diabetes tipe 2 yang tidak segera ditangani dapat menimbulkan komplikasi kesehatan yang lebih serius, seperti serangan jantung hingga stroke. Meski bukan kondisi yang dapat disembuhkan, perawatan dan pengobatan yang tepat bisa mengurangi risiko terjadinya komplikasi diabetes. Salah satu jenis obat yang bisa digunakan oleh pasien diabetes tipe 2 adalah metmorfin.   Baca juga: Pahami Risiko Jika Terdiagnosis Diabetes Sebelum Usia 40 Tahun!   Sumber: (https://www.drugs.com/metformin.html) "
210,Methadone,  Methadone digunakan untuk menurunkan gejala pada orang yang memiliki kecanduan heroin atau obat-obatan narkotika lainnya tanpa memberikan efek high atau perasaan bahagia. Methadone digunakan pada masa rehabilitasi pecandu narkoba.   Bacaj uga: Pengguna Narkotika Flakka Lebih Seram dari Zombie!   Sumber: (https://www.drugs.com/methadone.html) 
